[2026-05-30T06:44:22.829Z] GET https://sgtm.azure.io/g/collect?v=2&tid=G-456PJ82D2P&gtm=45he65s0h2v873723204z89176723357za20kzb9176723357zd9176723357&_p=1780123462109&gcd=13l3l3l2l1l1&npa=1&dma_cps=a&dma=1&ecid=1148866984&_eu=EAAAAGA&_fplc=0&are=1&cid=1632775656.1780123463&ec_mode=a&frm=0&ir=1&pscdl=noapi&rcb=0&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=26.4.1&uaw=0&ul=en-us&ur=DE&sst.etld=google.de&sst.gcsub=region1&sst.tft=1780123462109&sst.lpc=179838392&sst.navt=n&sst.ude=1&sst.sw_exp=1&gaf=2&_s=1&tag_exp=0~115616985~115938466~115938468~119034491&sid=1780123462&sct=1&seg=0&dl=https%3A%2F%2Fmy.azure.io%2Findex.php%3Frp%3D%2Flogin&dt=Login%20-%20Azure&_tu=BA&en=page_view&_fv=1&_nsi=1&_ss=1&gap.gtb=2&ep.Affiliate_id=&ep.content_group=ENG%20site&ep.anonymize_ip=true&ep.transport_type=beacon&ep.custom_2=%2Findex.php%3Frp%3D%2Flogin&ep.affiliate_event_id=&ep.url_passthrough=true&ep.user_data.email=info%40azure.io&tfd=3119&richsstsse → 200 (117ms, 1593B)
[2026-05-30T06:44:22.834Z] GET https://sgtm.azure.io/_/service_worker/65d0/sw_iframe.html?origin=https%3A%2F%2Fmy.azure.io&1p=1 → 200 (117ms, 3529B)
[2026-05-30T06:44:22.947Z] GET https://region1.analytics.google.com/g/s/collect?dma=1&dma_cps=a&npa=1&gcd=13l3l3l2l1l1&gtm=45h91e65r0v873723204z89176723357z99176724746za20kzb9176723357zd9176723357&tag_exp=0~115616985~115938466~115938468~117215454~117215454~117384417~117384417~117401772~117401772~119034491&_is_sw=f15s0t1&_tu=BA&gap.gtb=2&_gsid=456PJ82D2Pkc8S_JO5RmAZ-2UtZmd_DQ → 204 (255ms, ?B)
[2026-05-30T06:44:22.947Z] GET https://www.google.de/ads/ga-audiences?v=1&t=sr&slf_rd=1&_r=4&dma=1&dma_cps=a&npa=1&gcd=13l3l3l2l1l1&tid=G-456PJ82D2P&cid=1632775656.1780123463&gtm=45h91e65r0v873723204z89176723357z99176724746za20kzb9176723357zd9176723357&tag_exp=0~115616985~115938466~115938468~117215454~117215454~117384417~117384417~117401772~117401772~119034491&_is_sw=f15s0t1&_tu=BA&gap.gtb=2&aip=1&z=390372892 → pending (?ms, ?B)
[2026-05-30T06:44:22.948Z] GET https://stats.g.doubleclick.net/g/collect?v=2&dma=1&dma_cps=a&npa=1&gcd=13l3l3l2l1l1&tid=G-456PJ82D2P&cid=1632775656.1780123463&gtm=45h91e65r0v873723204z89176723357z99176724746za20kzb9176723357zd9176723357&tag_exp=0~115616985~115938466~115938468~117215454~117215454~117384417~117384417~117401772~117401772~119034491&_is_sw=f15s0t1&_tu=BA&gap.gtb=2&aip=1 → pending (?ms, ?B)
[2026-05-30T06:44:22.948Z] GET https://sgtm.azure.io/_/set_cookie?val=mRyPUQwuTbeAGuzQDjRl8KHtHQVvgRjUZuBRt32Ruc2aKc9iTHxKCPgaVhfskdA72RWMFVTLAbeLiuSMWjOGq5cbMYNK5LReRfFtASsY%2FTGTW9sEJ9DKCb1GvwLPON2U7QVk5nI9orlb1EfZNIhT6LTs8Z%2BzgrNnpympnlX6yYSi%2F3d58UIXOur%2BYJ%2F9f3I%3D&path=%2F → 200 (33ms, ?B)
[2026-05-30T06:44:23.016Z] GET https://affiliates.azure.eu/scripts/3r3huk3?accountId=default1&url=S_my.azure.io%2Findex.php&referrer=&isInIframe=false&getParams=%3Frp%3D%2Flogin&anchor= → 200 (35ms, 66B)
[2026-05-30T06:44:23.769Z] GET https://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js → pending (?ms, ?B)
[2026-05-30T06:44:29.348Z] POST https://my.azure.io/index.php?rp=/login → 302 (550ms, ?B)
[2026-05-30T06:44:29.899Z] GET https://my.azure.io/index.php?rp=/login → pending (?ms, ?B)
[2026-05-30T06:44:30.351Z] POST https://sgtm.azure.io/g/collect?v=2&tid=G-456PJ82D2P&gtm=45he65s0h2v873723204za20kzb9176723357zd9176723357&_p=1780123462109&gcd=13l3l3l2l1l1&npa=1&dma_cps=a&dma=1&ecid=1148866984&_eu=EAAAAGQ&are=1&cid=1632775656.1780123463&frm=0&ir=1&pscdl=noapi&rcb=0&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=26.4.1&uaw=0&ul=en-us&ur=DE&sst.etld=google.de&sst.gcsub=region1&sst.tft=1780123462109&sst.lpc=179838392&sst.navt=n&sst.ude=1&sst.sw_exp=1&gaf=2&_s=2&tag_exp=0~115616985~115938466~115938468~119034491&sid=1780123462&sct=1&seg=0&dl=https%3A%2F%2Fmy.azure.io%2Findex.php%3Frp%3D%2Flogin&dt=Login%20-%20Azure&_tu=BA&en=user_engagement&gap.gtb=2&ep.Affiliate_id=&ep.content_group=ENG%20site&ep.anonymize_ip=true&ep.transport_type=beacon&ep.custom_2=%2Findex.php%3Frp%3D%2Flogin&ep.affiliate_event_id=&ep.url_passthrough=true&_et=7532&tfd=10656 → pending (?ms, ?B)
[2026-05-30T06:44:30.353Z] GET https://fonts.googleapis.com/css?family=Karla:400,700|Rubik:300,400,500,700&display=swap&subset=latin-ext → 200 (1ms, 12242B)
[2026-05-30T06:44:30.354Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/vars/minified.css?1752124174 → 200 (?ms, 173328B)
[2026-05-30T06:44:30.354Z] GET https://my.azure.io/templates/lagom2/assets/css/theme.css?v=2.3.6 → 200 (?ms, 1180450B)
[2026-05-30T06:44:30.354Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/theme-custom.css?v=2.3.6&v1=1.0.0 → 200 (?ms, 331B)
[2026-05-30T06:44:30.354Z] GET https://my.azure.io/templates/lagom2/assets/js/scripts.min.js?v=2.3.6 → 200 (1ms, 678797B)
[2026-05-30T06:44:30.355Z] GET https://my.azure.io/templates/lagom2/assets/js/core.min.js?v=2.3.6 → 200 (?ms, 68257B)
[2026-05-30T06:44:30.355Z] GET https://my.azure.io/modules/addons/azure/assets/js/affiliate.js → 200 (?ms, 2263B)
[2026-05-30T06:44:30.355Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/js/theme-custom.js?v=1.0.0 → 200 (?ms, 937B)
[2026-05-30T06:44:30.355Z] GET https://my.azure.io/templates/lagom2/core/extensions/ClientNotifications/assets/css/client-notifications.css → 200 (1ms, 26860B)
[2026-05-30T06:44:30.357Z] GET https://my.azure.io/assets/css/fontawesome-all.min.css → 200 (?ms, 156472B)
[2026-05-30T06:44:30.357Z] GET https://my.azure.io/templates/lagom2/assets/img/logo/logo_big_inverse.1835843558.png → 200 (1ms, 27941B)
[2026-05-30T06:44:30.358Z] GET https://my.azure.io/templates/lagom2/core/extensions/ClientNotifications/assets/js/client-notifications.js → 200 (?ms, 1048615B)
[2026-05-30T06:44:30.358Z] GET https://my.azure.io/templates/lagom2/assets/js/vendor.js?v=2.3.6 → 200 (?ms, 301980B)
[2026-05-30T06:44:30.358Z] GET https://my.azure.io/templates/lagom2/assets/js/lagom-app.js?v=2.3.6 → 200 (?ms, 97229B)
[2026-05-30T06:44:30.359Z] GET https://my.azure.io/templates/lagom2/assets/js/whmcs-custom.min.js?v=2.3.6 → 200 (?ms, 10381B)
[2026-05-30T06:44:30.370Z] GET https://fonts.googleapis.com/css?family=Roboto:300,400,500,700,900&display=swap → 200 (?ms, 28190B)
[2026-05-30T06:44:30.370Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/azure.css → 200 (?ms, 21291B)
[2026-05-30T06:44:30.371Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/refer-a-friend.css → 200 (?ms, 52839B)
[2026-05-30T06:44:30.371Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/order-wizard-progressbar.css → 200 (?ms, 2533B)
[2026-05-30T06:44:30.371Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/order-wizard-packages.css → 200 (?ms, 1182B)
[2026-05-30T06:44:30.371Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/order-wizard-domain-selection.css → 200 (?ms, 4809B)
[2026-05-30T06:44:30.372Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/order-wizard-product-configuration.css → 200 (?ms, 4687B)
[2026-05-30T06:44:30.372Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/order-wizard-configure-domains.css → 200 (?ms, 2079B)
[2026-05-30T06:44:30.372Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/order-wizard-finalize.css → 200 (?ms, 3372B)
[2026-05-30T06:44:30.372Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/zendesk.css → 200 (?ms, 81B)
[2026-05-30T06:44:30.373Z] GET https://sgtm.azure.io/22nljgkhruc.js?8=aWQ9R1RNLVdRVktKNVhO&sort=desc → 200 (?ms, 604748B)
[2026-05-30T06:44:30.380Z] GET https://fonts.gstatic.com/s/karla/v33/qkB9XvYC6trAT55ZBi1ueQVIjQTD-JrIH2G7nytkHRyQ8p4wUje6bmMorHA.woff2 → 200 (?ms, ?B)
[2026-05-30T06:44:30.380Z] GET https://fonts.gstatic.com/s/rubik/v31/iJWKBXyIfDnIV7nBrXyw023e.woff2 → 200 (?ms, ?B)
[2026-05-30T06:44:30.381Z] GET https://fonts.gstatic.com/s/roboto/v51/KFO7CnqEu92Fr1ME7kSn66aGLdTylUAMa3yUBHMdazQ.woff2 → 200 (?ms, ?B)
[2026-05-30T06:44:30.381Z] GET https://my.azure.io/templates/lagom2/assets/fonts/lagom-medium-icons.woff?v5wga3 → 200 (?ms, ?B)
[2026-05-30T06:44:30.381Z] GET https://my.azure.io/templates/lagom2/assets/fonts/lagom-small-icons.woff?7yz00b → 200 (?ms, ?B)
[2026-05-30T06:44:30.477Z] GET https://sgtm.azure.io/gtag/js?id=G-456PJ82D2P&cx=c&gtm=4e65s0h2 → 200 (?ms, 553015B)
[2026-05-30T06:44:30.477Z] GET https://affiliates.azure.eu/scripts/3j3huk3 → 200 (?ms, 16684B)
[2026-05-30T06:44:30.477Z] POST https://www.google.com/ccm/collect?rcb=2&frm=0&ae=g&auid=1115066569.1780123463&dt=Login%20-%20Azure&en=page_view&dr=my.azure.io&dl=https%3A%2F%2Fmy.azure.io%2Findex.php&scrsrc=sgtm.azure.io&rnd=1811112208.1780123470&navt=n&npa=1&ep.ads_data_redaction=0&gtm=45Fe65s0h2v9176723357za204zd9176723357xea&gcd=13l3l3l2l1l1&dma_cps=a&dma=1&tag_exp=0~115616985~115938465~115938468~116701382~118131809~119034493&apve=1&apvf=f&gap.gtb=2&apvc=1&tft=1780123470476&tfd=1131 → 200 (28ms, ?B)
[2026-05-30T06:44:30.496Z] GET https://sgtm.azure.io/g/collect?v=2&tid=G-456PJ82D2P&gtm=45he65s0h2v873723204z89176723357za20kzb9176723357zd9176723357&_p=1780123470369&gcd=13l3l3l2l1l1&npa=1&dma_cps=a&dma=1&ecid=1148866984&_eu=EAAAAGQ&are=1&cid=1632775656.1780123463&ec_mode=a&frm=0&ir=1&pscdl=noapi&rcb=8&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=26.4.1&uaw=0&ul=en-us&ur=DE&sst.etld=google.de&sst.gcsub=region1&sst.tft=1780123470369&sst.lpc=179838392&sst.navt=n&sst.ude=1&sst.sw_exp=1&gaf=2&_s=1&tag_exp=0~115938465~115938468~118228215~119034491&sid=1780123462&sct=1&seg=1&dl=https%3A%2F%2Fmy.azure.io%2Findex.php%3Frp%3D%2Flogin&dr=https%3A%2F%2Fmy.azure.io%2Findex.php%3Frp%3D%2Flogin&dt=Login%20-%20Azure&_tu=BA&en=page_view&gap.gtb=2&ep.Affiliate_id=&ep.content_group=ENG%20site&ep.anonymize_ip=true&ep.transport_type=beacon&ep.custom_2=%2Findex.php%3Frp%3D%2Flogin&ep.affiliate_event_id=&ep.url_passthrough=true&ep.user_data.email=info%40azure.io&tfd=1142&richsstsse → 200 (145ms, 761B)
[2026-05-30T06:44:30.499Z] GET https://affiliates.azure.eu/scripts/3r3huk3?visitorId=Q7GN4nlC9tgqW2ixW8X9a054o0coa2uB&accountId=default1&tracking=1&url=S_my.azure.io%2Findex.php&referrer=S_my.azure.io%2Findex.php%3Frp%3D%2Flogin&isInIframe=false&getParams=%3Frp%3D%2Flogin&anchor= → 200 (34ms, 19B)
[2026-05-30T06:44:30.505Z] GET https://sgtm.azure.io/_/service_worker/65d0/sw_iframe.html?origin=https%3A%2F%2Fmy.azure.io&1p=1 → 200 (1ms, 3529B)
[2026-05-30T06:44:30.534Z] GET https://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js → 200 (?ms, 24915B)
[2026-05-30T06:44:30.642Z] GET https://www.google.de/ads/ga-audiences?v=1&t=sr&slf_rd=1&_r=4&dma=1&dma_cps=a&npa=1&gcd=13l3l3l2l1l1&tid=G-456PJ82D2P&cid=1632775656.1780123463&gtm=45h91e65r0v873723204z89176723357z99176724746za20kzb9176723357zd9176723357&tag_exp=0~115938465~115938468~117384418~117384418~118228215~119034491&_is_sw=f15s0te&_tu=BA&gap.gtb=2&aip=1&z=1878620184 → 200 (195ms, 42B)
[2026-05-30T06:44:30.642Z] GET https://sgtm.azure.io/_/set_cookie?val=GcFid4iuIomq06d41X7iiAWfQ%2F3ChFkrMjk9giN4nj%2BIJzU4sX%2FR0tctione6JYXCxn7Pze2pgd%2BRDADIGlsNvrdho5xTEj3VRsffAtoBvgkz0z%2Fa6WzjQd7sSw40pO%2BcynYdmf70%2FVGvBAdUDkkP6Ik8LuIuWpK9uLTXmw3bl9EwEv5DNMza2QbqYSWSFo%3D&path=%2F → 200 (36ms, ?B)
[2026-05-30T06:45:08.649Z] POST https://my.azure.io/index.php?rp=/login → 302 (338ms, ?B)
[2026-05-30T06:45:08.987Z] GET https://my.azure.io/index.php?rp=/login → pending (?ms, ?B)
[2026-05-30T06:45:09.629Z] GET https://fonts.googleapis.com/css?family=Karla:400,700|Rubik:300,400,500,700&display=swap&subset=latin-ext → 200 (?ms, 12242B)
[2026-05-30T06:45:09.630Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/vars/minified.css?1752124174 → 200 (?ms, 173328B)
[2026-05-30T06:45:09.630Z] GET https://my.azure.io/templates/lagom2/assets/css/theme.css?v=2.3.6 → 200 (?ms, 1180450B)
[2026-05-30T06:45:09.630Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/theme-custom.css?v=2.3.6&v1=1.0.0 → 200 (?ms, 331B)
[2026-05-30T06:45:09.630Z] GET https://my.azure.io/templates/lagom2/assets/js/scripts.min.js?v=2.3.6 → 200 (1ms, 678797B)
[2026-05-30T06:45:09.631Z] GET https://my.azure.io/templates/lagom2/assets/js/core.min.js?v=2.3.6 → 200 (?ms, 68257B)
[2026-05-30T06:45:09.631Z] GET https://my.azure.io/modules/addons/azure/assets/js/affiliate.js → 200 (1ms, 2263B)
[2026-05-30T06:45:09.632Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/js/theme-custom.js?v=1.0.0 → 200 (?ms, 937B)
[2026-05-30T06:45:09.632Z] GET https://my.azure.io/templates/lagom2/core/extensions/ClientNotifications/assets/css/client-notifications.css → 200 (?ms, 26860B)
[2026-05-30T06:45:09.632Z] GET https://my.azure.io/assets/css/fontawesome-all.min.css → 200 (?ms, 156472B)
[2026-05-30T06:45:09.632Z] GET https://my.azure.io/templates/lagom2/assets/img/logo/logo_big_inverse.1835843558.png → 200 (1ms, 27941B)
[2026-05-30T06:45:09.633Z] GET https://my.azure.io/templates/lagom2/core/extensions/ClientNotifications/assets/js/client-notifications.js → 200 (?ms, 1048615B)
[2026-05-30T06:45:09.633Z] GET https://my.azure.io/templates/lagom2/assets/js/vendor.js?v=2.3.6 → 200 (1ms, 301980B)
[2026-05-30T06:45:09.634Z] GET https://my.azure.io/templates/lagom2/assets/js/lagom-app.js?v=2.3.6 → 200 (?ms, 97229B)
[2026-05-30T06:45:09.634Z] GET https://my.azure.io/templates/lagom2/assets/js/whmcs-custom.min.js?v=2.3.6 → 200 (1ms, 10381B)
[2026-05-30T06:45:09.644Z] GET https://fonts.googleapis.com/css?family=Roboto:300,400,500,700,900&display=swap → 200 (?ms, 28190B)
[2026-05-30T06:45:09.644Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/azure.css → 200 (?ms, 21291B)
[2026-05-30T06:45:09.645Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/refer-a-friend.css → 200 (?ms, 52839B)
[2026-05-30T06:45:09.645Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/order-wizard-progressbar.css → 200 (?ms, 2533B)
[2026-05-30T06:45:09.645Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/order-wizard-packages.css → 200 (?ms, 1182B)
[2026-05-30T06:45:09.645Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/order-wizard-domain-selection.css → 200 (?ms, 4809B)
[2026-05-30T06:45:09.646Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/order-wizard-product-configuration.css → 200 (?ms, 4687B)
[2026-05-30T06:45:09.646Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/order-wizard-configure-domains.css → 200 (?ms, 2079B)
[2026-05-30T06:45:09.646Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/order-wizard-finalize.css → 200 (?ms, 3372B)
[2026-05-30T06:45:09.646Z] GET https://my.azure.io/templates/lagom2/core/styles/depth/assets/css/zendesk.css → 200 (?ms, 81B)
[2026-05-30T06:45:09.647Z] GET https://sgtm.azure.io/22nljgkhruc.js?8=aWQ9R1RNLVdRVktKNVhO&sort=desc → 200 (?ms, 604748B)
[2026-05-30T06:45:09.655Z] GET https://fonts.gstatic.com/s/karla/v33/qkB9XvYC6trAT55ZBi1ueQVIjQTD-JrIH2G7nytkHRyQ8p4wUje6bmMorHA.woff2 → 200 (?ms, ?B)
[2026-05-30T06:45:09.655Z] GET https://fonts.gstatic.com/s/rubik/v31/iJWKBXyIfDnIV7nBrXyw023e.woff2 → 200 (?ms, ?B)
[2026-05-30T06:45:09.655Z] GET https://fonts.gstatic.com/s/roboto/v51/KFO7CnqEu92Fr1ME7kSn66aGLdTylUAMa3yUBHMdazQ.woff2 → 200 (?ms, ?B)
[2026-05-30T06:45:09.656Z] GET https://my.azure.io/templates/lagom2/assets/fonts/lagom-medium-icons.woff?v5wga3 → 200 (?ms, ?B)
[2026-05-30T06:45:09.656Z] GET https://my.azure.io/templates/lagom2/assets/fonts/lagom-small-icons.woff?7yz00b → 200 (?ms, ?B)
